,discoverymethod,pl_masse,pl_name,pl_orbper,pl_rade
1685,Transit,,Kepler-1772 b,3.21509004,2.686
1686,Transit,,Kepler-1683 b,15.0337,1.875
1687,Transit,,Kepler-1067 b,0.76212926,0.8
1688,Transit,,Kepler-799 c,15.19419956,2.781
1689,Transit,,K2-389 c,20.851337,2.04
1690,Transit,2895.31,Kepler-27 b,15.3348,4.0
1691,Transit,,Kepler-1956 b,5.94371986,1.089
1692,Transit,,Kepler-1829 b,5.18671989,2.479
1693,Transit,118.23217,HAT-P-58 b,4.0138379,14.93
1694,Transit,239.32479,HATS-54 b,2.5441765,11.377
1695,Radial Velocity,6315.56828,HD 139357 b,1124.79139,
1696,Transit,,K2-315 b,3.1443189,0.95
1697,Transit,82.6358,K2-329 b,12.4551225,8.676
1698,Transit,,Kepler-618 b,3.59576964,2.6
1699,Transit,,Kepler-1996 b,32.376183,2.26
1700,Transit,,Kepler-1978 b,10.84969477,2.67
1701,Transit,,Kepler-1995 b,73.7578875,4.28
1702,Transit,,Kepler-2001 b,1.090011,1.04
1703,Transit,,Kepler-1979 b,18.5084526,29.33
1704,Transit,,Kepler-1982 b,3.82315697,0.77
1705,Transit,,Kepler-2000 b,6.38315913,2.73
1706,Radial Velocity,107.74383,HD 126614 b,1257.25303,
1707,Radial Velocity,,HD 105618 b,10.02245,
1708,Radial Velocity,,HD 11506 c,223.95986,
1709,Radial Velocity,2281.37231,HD 125612 d,2822.72698,
1710,Radial Velocity,,Teegarden's Star d,26.13,
1711,Transit,,Kepler-236 c,23.968127,2.0
1712,Transit,,Kepler-558 b,29.00790538,2.37
1713,Transit,,Kepler-668 b,8.35390639,2.7
1714,Transit,,Kepler-672 b,38.3774623,2.5
1715,Transit,,Kepler-525 b,18.68404933,2.63
1716,Transit,,Kepler-1840 b,131.1900024,2.778
1717,Transit,,Kepler-529 d,35.86619949,2.795
1718,Transit,,Kepler-1785 b,19.58550072,2.704
1719,Transit,4.04,HD 137496 b,1.62116,1.31
1720,Transit,20.0,TOI-5678 b,47.73022,4.91
1721,Radial Velocity,1661.60691,HD 156098 c,7841.5839,
1722,Radial Velocity,,HD 25912 b,41.83156,
1723,Radial Velocity,4154.01728,HD 93351 c,14010.2941,
1724,Radial Velocity,2378.94563,HD 203387 c,2481.07227,
1725,Radial Velocity,1871.37366,HIP 65891 b,1079.55726,
1726,Radial Velocity,2063.65985,HD 27894 d,5019.54244,
1727,Radial Velocity,,HD 125612 b,557.69994,
1728,Radial Velocity,8725.66109,HD 153557 d,40654.64809,
1729,Radial Velocity,,GJ 676 A d,3.60076,
1730,Radial Velocity,,HD 151450 b,21.89288,
1731,Radial Velocity,,GJ 2030 b,2.38129,
1732,Radial Velocity,,HD 18143 b,10.2851,
1733,Radial Velocity,,GJ 229 b,579.47495,
1734,Radial Velocity,,HD 144899 b,40.43914,
1735,Radial Velocity,3135.69506,HD 12235 c,36336.70679,
1736,Radial Velocity,,BD-210397 b,1891.0,
1737,Radial Velocity,1525.57635,BD-210397 c,6240.0,
1738,Radial Velocity,5102.41725,HD 219828 c,4789.87297,
1739,Transit,9.67,TOI-784 b,2.7970365,1.93
1740,Radial Velocity,,HD 4113 b,526.5239,
1741,Radial Velocity,6241.83209,HD 28185 c,17417.92079,
1742,Radial Velocity,,HS Psc b,3.986,
1743,Microlensing,14.62011,OGLE-2017-BLG-1691L b,,
1744,Transit,,Kepler-1791 b,7.72086,3.121
1745,Microlensing,38.13941,KMT-2021-BLG-1554L b,,
1746,Transit,,Kepler-1488 b,39.8189932,1.86
