,disc_year,discoverymethod,pl_name,pl_orbper,pl_rade
4968,2014,Transit,Kepler-379 c,62.784697,2.29
4969,2013,Transit,KOI-94 d,22.342989,11.27
4970,2021,Transit,Kepler-1915 b,13.83539963,3.218
4971,2012,Transit,Kepler-55 c,42.1516418,2.21
4972,2016,Transit,Kepler-559 b,17.58752333,3.61
4973,2008,Radial Velocity,HD 181433 b,9.3743,
4974,2008,Radial Velocity,HD 181433 c,962.0,
4975,2008,Radial Velocity,HD 181433 d,2172.0,
4976,1994,Pulsar Timing,PSR B1257+12 b,25.262,
4977,2012,Microlensing,OGLE-2012-BLG-0026L c,,
4978,1999,Radial Velocity,HD 192263 b,24.3556,
4979,2016,Transit,Kepler-752 b,18.82747265,2.81
4980,2016,Transit,Kepler-1059 b,3.76419105,1.73
4981,2023,Imaging,HD 169142 b,,
4982,2021,Transit,Kepler-1920 b,30.2541008,2.954
4983,2016,Transit,Kepler-1438 b,2.31942009,0.94
4984,2021,Transit,Kepler-1946 b,3.0351901,2.488
4985,2016,Transit,Kepler-1306 b,16.29595382,1.91
4986,2014,Transit,Kepler-300 c,40.714955,2.25
4987,2007,Transit,OGLE-TR-211 b,3.67724,15.244
4988,1992,Pulsar Timing,PSR B1257+12 c,66.5419,
4989,2012,Microlensing,MOA-2010-BLG-477L b,,
4990,2016,Transit,Kepler-713 b,7.411141,2.48
4991,2015,Transit,CoRoT-29 b,2.85057,10.088
4992,2016,Transit,Kepler-1630 b,509.997402,2.19
4993,2016,Transit,Kepler-1638 b,259.33683,1.87
4994,2016,Transit,Kepler-731 b,3.85560355,13.88
4995,2023,Transit,Kepler-1471 c,11.6044881,1.88
4996,2016,Transit,Kepler-1201 b,15.18725932,2.29
4997,2016,Transit,Kepler-1419 b,42.5215895,2.86
4998,2016,Transit,Kepler-779 b,7.09714223,0.92
4999,2016,Transit,Kepler-1029 b,4.41769648,1.26
5000,2020,Transit,Kepler-1697 b,33.4969,1.26
5001,2016,Transit,Kepler-978 b,49.6221509,2.99
5002,2016,Transit,Kepler-868 b,5.03251791,2.05
5003,2015,Transit,Kepler-438 b,35.23319,1.12
5004,2014,Transit,Kepler-427 b,10.290994,13.79
5005,2015,Transit,Kepler-446 d,5.148921,1.35
5006,2016,Transit,Kepler-722 b,4.09357325,2.63
5007,2014,Transit,Kepler-52 d,36.445171,1.95
5008,2021,Transit,Kepler-1895 b,6.07029009,2.119
5009,2014,Transit,Kepler-235 d,20.060548,2.05
5010,2014,Transit,Kepler-210 c,7.972513,3.62
5011,2016,Transit,Kepler-1536 b,364.758031,3.14
5012,2016,Transit,Kepler-1596 b,66.373379,1.9
5013,2016,Transit,Kepler-878 b,25.9422033,1.93
5014,2021,Transit,Kepler-1757 b,19.65640068,2.947
5015,2016,Transit,Kepler-1078 b,3.00725242,1.9
5016,2016,Transit,Kepler-762 b,3.7705521,12.68
5017,2016,Transit,Kepler-991 b,82.5342519,2.54
5018,2014,Transit,Kepler-241 b,12.718092,2.33
5019,2013,Imaging,HD 106906 b,,
5020,2016,Transit,Kepler-927 b,9.1149903,1.72
5021,2020,Transit,Kepler-1696 b,65.9409,2.81
5022,2014,Transit,CoRoT-24 c,11.759,5.0
5023,2016,Transit,Kepler-1453 b,47.1611696,2.67
5024,2016,Transit,Kepler-1498 b,48.051405,1.33
5025,2014,Transit,Kepler-308 c,15.38231,2.16
5026,2016,Transit,Kepler-1603 b,2.27163926,1.29
5027,2016,Transit,Kepler-1372 b,1.31155557,1.27
5028,2016,Transit,Kepler-702 b,10.52629406,9.17
5029,2016,Transit,Kepler-761 b,10.12804789,2.03
5030,2012,Imaging,WISEP J121756.91+162640.2 A b,,10.468
5031,2016,Transit,Kepler-780 b,0.67737516,0.89
5032,2016,Transit,Kepler-672 b,38.3774623,2.5
5033,2015,Transit,KIC 8540376 b,31.8099,4.1
5034,2020,Transit,Kepler-1699 b,3.49082,1.567
5035,2021,Transit,Kepler-1968 b,7.2810998,1.5
5036,2017,Transit,Kepler-1650 b,1.53818001,0.96
5037,2016,Transit,Kepler-1204 b,85.7350285,3.05
5038,2021,Transit,Kepler-1693 c,5.36370993,0.977
5039,2019,Transit,WASP-185 b,9.38755,14.011
5040,2016,Transit,Kepler-1486 b,54.6495759,2.32
5041,2019,Imaging,USco1556 b,,
5042,2016,Transit,Kepler-595 b,25.3029092,3.708
5043,2016,Transit,Kepler-1489 b,82.294751,1.77
5044,2016,Transit,Kepler-694 b,6.36584161,2.8
5045,2014,Transit,Kepler-303 c,7.061149,1.14
5046,2016,Transit,Kepler-866 b,2.61703254,1.63
5047,2016,Transit,Kepler-792 b,11.30119217,1.96
5048,2016,Transit,Kepler-813 b,19.12947337,2.14
5049,2015,Transit,HATS-8 b,3.583893,9.785
5050,2016,Transit,Kepler-767 b,161.5280101,6.64
5051,2016,Transit,Kepler-963 b,9.97683705,2.66
5052,2021,Transit,Kepler-1813 b,2.81816006,1.413
5053,2016,Transit,Kepler-611 b,2.4370333,1.65
5054,2021,Transit,Kepler-1911 b,5.9907999,1.011
5055,2018,Transit,Kepler-1654 b,1047.8356,9.18
5056,2016,Transit,Kepler-842 b,1.21956827,1.6
5057,2016,Transit,Kepler-1172 b,26.0204423,3.2
5058,2016,Transit,Kepler-979 b,8.0880135,2.72
5059,2016,Transit,Kepler-871 b,22.0459018,3.74
5060,2014,Transit Timing Variations,Kepler-415 c,8.708,
5061,2016,Transit,Kepler-632 b,30.99660733,2.21
5062,2012,Transit,Kepler-49 c,10.91,2.444
5063,2016,Transit,Kepler-705 b,56.0560538,2.11
5064,2021,Transit,Kepler-1807 b,10.86060047,2.704
